8424,324,324,1620,1944,2359944,3240,1944,591768,590796,1179972,3538944,2358324,590148,2948148,2948472,6484824,6484500,5895972,4716324,3537648,3537648,11200824,2948472,4126500,4126824,2358972,2358648,3537324,2947500,2948472,1768500,1768824,2948148,4127148,1179324,1179000,0,0,589500,2358324,1179000,1179000,590796,2947824,1768500,590148,589500,648,1769472,4126824,589824,4127148,2948148,1179648,1944,1179972,972,590472,2358324,1620,1179324,1179648,1179972,2358972,1179648,1770120,2947500,1296,590148,1296,1180944,2268,2592,1296,590148,648,1770444,324,972,2359620,590472,324,1179000,589824,324,0,1179324,1296,590796,648,589500,0,0,648,324,324,648,324,648
15327000,589500,589500,2947500,3537000,3538296,5895000,3537000,4126824,2358324,1769148,3538944,590796,1179324,1180620,1770120,593064,3564,1771740,592092,1180944,1180944,595656,1770120,2268,591768,1769796,1180296,591444,1620,1770120,972,590472,1180620,1181268,590148,648,0,0,324,590796,648,648,2358324,591120,972,1179324,324,1179000,1769472,591768,589824,1181268,1180620,1179648,3537000,1769148,1768500,1768824,590796,2947500,590148,1179648,1769148,1769796,1179648,2948472,1620,2358000,1179324,2358000,3537648,4126500,4716000,2358000,1179324,1179000,3537972,589500,1768500,2948796,1768824,589500,648,589824,589500,0,590148,2358000,2358324,1179000,324,0,0,1179000,589500,589500,1179000,589500,1179000
24251148,324,324,324,324,0,0,0,589500,0,0,589500,0,2358000,3537000,0,1179000,2947500,2947500,2358000,3537000,2358000,1768500,4126500,5305500,2947500,5895000,5895000,5895000,4716000,2947500,2358000,3537000,589500,589500,2947500,2947500,1768500,2947500,1179000,1179000,1768500,1768500,2947500,1768500,1768500,1768500,1768500,589500,0,0,1179000,1768500,1768500,589500,0,0,589500,0,1179000,0,1179000,0,589500,0,0,0,1179000,589500,1768500,0,589500,0,589500,2947500,1768500,589500,1179000,1768500,589500,0,1179000,589500,0,589500,589500,1179000,589500,1179000,589500,0,589500,0,0,0,0,589500,0,0,589500
148567284,589500,589500,589500,589500,0,0,0,324,0,0,324,0,1296,1944,0,648,1620,1620,1296,1944,1296,972,2268,2916,1620,3240,3240,3240,2592,1620,1296,1944,324,324,1620,1620,972,1620,648,648,972,972,1620,972,972,972,972,324,0,0,648,972,972,324,0,0,324,0,648,0,648,0,324,0,0,0,648,324,972,0,324,0,324,1620,972,324,648,972,324,0,648,324,0,324,324,648,324,648,324,0,324,0,0,0,0,324,0,0,324
324,324,1620,6156,6480,594036,1770444,0,2362212,1182564,2949768,593388,1179972,3540240,6489036,0,5898564,5896620,7076916,1769148,4716972,4716972,4718268,0,4718268,4716972,5898564,3540564,2360916,1769796,0,4130388,2949120,1769796,2947500,2358000,1769472,4716324,0,1179000,1768500,972,0,589500,2947500,2358972,0,648,589824,2358324,0,0,0,0,589500,0,1768500,5895000,0,5305500,2947500,0,1179000,0,0,1179000,0,589500,589500,0,0,1179000,1179000,1179000,2947500,1179000,0,589500,1179000,1768500,0,1179000,0,1179000,0,0,0,0,0,0,2358000,0,0,0,0,2358000,0,0,1179000,589500
589500,589500,2947500,11200500,11790000,8253324,3537972,0,7664796,6485148,4128120,7074324,1769148,5896944,8256564,0,6487740,2950740,5309388,1179972,1771092,1771092,4129092,0,4129092,1771092,6487740,6486444,5306796,2358972,0,7076268,2949120,2358972,1620,1296,1769472,592092,0,648,972,1768500,0,324,1620,1769796,0,1179000,589824,590796,0,0,0,0,324,0,972,3240,0,2916,1620,0,648,0,0,648,0,324,324,0,0,648,648,648,1620,648,0,324,648,972,0,648,0,648,0,0,0,0,0,0,1296,0,0,0,0,1296,0,0,648,324
12960,864,1296,6048,592848,432,1179648,864,591552,1770768,1768608,2358432,10021392,2947824,6483744,9430272,7663824,2948688,7073568,5895216,3536352,2358000,4127472,864,9431568,2948256,2947824,4127040,0,4127472,4125744,589824,2357568,2947392,1178784,3536784,3536784,1768176,2947392,2357568,2357568,2358432,2358432,2357568,432,2358432,1178784,2357568,1181376,589824,3024,1180512,1179216,432,2952576,3024,1728,1769472,2358000,864,1178784,590688,0,0,590688,0,432,432,0,0,0,0,589824,0,589392,0,432,1180944,432,1296,1728,0,432,2592,864,2160,2592,1728,3888,3024,1728,0,0,2592,432,0,0,0,0,864
17681760,1178784,1768176,8251488,4715568,589392,1179648,1178784,2947392,3537648,590688,1180512,2364912,1180944,594144,6912,2363184,2359728,1183968,1772496,2592,591120,2360592,1178784,1775088,1770336,1180944,1771200,0,2360592,3024,589824,1728,591552,864,591984,591984,1296,591552,1728,1728,1180512,1180512,1728,589392,1180512,864,1728,3537216,589824,4125744,2358432,590256,589392,7664256,4125744,2357568,1769472,591120,1178784,864,1768608,0,0,1768608,0,589392,589392,0,0,0,0,589824,0,432,0,589392,2947824,589392,1768176,2357568,0,589392,3536352,1178784,2946960,3536352,2357568,5304528,4125744,2357568,0,0,3536352,589392,0,0,0,0,1178784
24273072,864,432,432,0,432,0,432,0,0,0,0,0,0,0,0,589392,589392,0,589392,1768176,1768176,2946960,1178784,0,3536352,3536352,1768176,589392,4715136,1768176,0,2357568,5304528,5893920,5304528,4125744,0,4125744,4715136,2946960,4715136,1768176,0,2946960,1178784,3536352,1178784,1768176,0,2357568,0,2946960,1768176,5304528,3536352,0,589392,589392,589392,0,0,0,2357568,1768176,1178784,1768176,1178784,0,0,1178784,589392,2357568,589392,0,589392,1768176,1178784,1768176,0,1178784,0,0,1178784,589392,589392,589392,0,0,1768176,2357568,589392,1768176,0,589392,1178784,0,589392,0,589392
147365712,1178784,589392,589392,0,589392,0,589392,0,0,0,0,0,0,0,0,432,432,0,432,1296,1296,2160,864,0,2592,2592,1296,432,3456,1296,0,1728,3888,4320,3888,3024,0,3024,3456,2160,3456,1296,0,2160,864,2592,864,1296,0,1728,0,2160,1296,3888,2592,0,432,432,432,0,0,0,1728,1296,864,1296,864,0,0,864,432,1728,432,0,432,1296,864,1296,0,864,0,0,864,432,432,432,0,0,1296,1728,432,1296,0,432,864,0,432,0,432
